시군구별,행정동,비율,기울기,2023_출생아수,2023_동별_추정출생아수,연간_인구감소폭,2024_출생아수,2025_출생아수,2026_출생아수,2027_출생아수,2028_출생아수,2029_출생아수
금천구,독산제3동,0.10204081632653061,-84.53571428571426,963.0,98,-8.62609329446064,90,81,72,64,55,47
금천구,독산제4동,0.031292517006802724,-84.53571428571426,963.0,30,-2.6453352769679297,27,25,22,20,17,14
금천구,시흥제1동,0.1306122448979592,-84.53571428571426,963.0,126,-11.04139941690962,115,104,93,82,71,60
금천구,시흥제2동,0.09523809523809523,-84.53571428571426,963.0,92,-8.051020408163263,84,76,68,60,51,43
금천구,시흥제3동,0.02312925170068027,-84.53571428571426,963.0,22,-1.955247813411078,20,18,16,14,12,11
금천구,시흥제4동,0.06394557823129252,-84.53571428571426,963.0,62,-5.405685131195334,56,51,45,40,35,29
금천구,시흥제5동,0.05986394557823129,-84.53571428571426,963.0,58,-5.060641399416908,53,48,42,37,32,27
노원구,공릉1동,0.05056818181818182,-207.07142857142853,2091.0,106,-10.471225649350647,95,85,74,64,53,43
노원구,공릉2동,0.10625,-207.07142857142853,2091.0,222,-22.00133928571428,200,178,156,134,112,90
노원구,상계10동,0.0659090909090909,-207.07142857142853,2091.0,138,-13.647889610389607,124,111,97,83,70,56
노원구,상계1동,0.05738636363636364,-207.07142857142853,2091.0,120,-11.883076298701296,108,96,84,72,61,49
노원구,상계2동,0.020454545454545454,-207.07142857142853,2091.0,43,-4.235551948051947,39,34,30,26,22,17
노원구,상계3.4동,0.03238636363636364,-207.07142857142853,2091.0,68,-6.706290584415583,61,54,48,41,34,27
노원구,상계5동,0.036931818181818184,-207.07142857142853,2091.0,77,-7.647524350649349,70,62,54,47,39,31
노원구,상계6.7동,0.09318181818181819,-207.07142857142853,2091.0,195,-19.295292207792205,176,156,137,118,98,79
노원구,상계8동,0.15454545454545454,-207.07142857142853,2091.0,323,-32.00194805194804,291,259,227,195,163,131
노원구,상계9동,0.036931818181818184,-207.07142857142853,2091.0,77,-7.647524350649349,70,62,54,47,39,31
노원구,월계1동,0.03068181818181818,-207.07142857142853,2091.0,64,-6.353327922077921,58,51,45,39,32,26
노원구,월계2동,0.05113636363636364,-207.07142857142853,2091.0,107,-10.588879870129869,96,86,75,65,54,43
노원구,월계3동,0.08125,-207.07142857142853,2091.0,170,-16.82455357142857,153,136,119,103,86,69
노원구,중계1동,0.013636363636363636,-207.07142857142853,2091.0,29,-2.823701298701298,26,23,20,17,14,12
노원구,중계2.3동,0.06306818181818181,-207.07142857142853,2091.0,132,-13.059618506493504,119,106,93,80,67,54
노원구,중계4동,0.023863636363636365,-207.07142857142853,2091.0,50,-4.941477272727272,45,40,35,30,25,20
노원구,중계본동,0.01818181818181818,-207.07142857142853,2091.0,38,-3.764935064935064,34,30,27,23,19,15
노원구,하계1동,0.031818181818181815,-207.07142857142853,2091.0,67,-6.588636363636361,60,53,47,40,34,27
노원구,하계2동,0.031818181818181815,-207.07142857142853,2091.0,67,-6.588636363636361,60,53,47,40,34,27
도봉구,도봉제1동,0.051031487513572206,-156.5,971.0,50,-7.98642779587405,42,34,26,18,10,2
도봉구,도봉제2동,0.10857763300760044,-156.5,971.0,105,-16.992399565689468,88,71,54,37,20,3
도봉구,방학제1동,0.05754614549402823,-156.5,971.0,56,-9.005971769815417,47,38,29,20,11,2
도봉구,방학제2동,0.04234527687296417,-156.5,971.0,41,-6.627035830618892,34,28,21,15,8,1
도봉구,방학제3동,0.0738327904451683,-156.5,971.0,72,-11.554831704668839,60,49,37,25,14,2
도봉구,쌍문제1동,0.05646036916395222,-156.5,971.0,55,-8.836047774158523,46,37,28,19,11,2
도봉구,쌍문제2동,0.05863192182410423,-156.5,971.0,57,-9.175895765472312,48,39,29,20,11,2
도봉구,쌍문제3동,0.0727470141150923,-156.5,971.0,71,-11.384907709011944,59,48,36,25,14,2
도봉구,쌍문제4동,0.05754614549402823,-156.5,971.0,56,-9.005971769815417,47,38,29,20,11,2
도봉구,창제1동,0.08034744842562432,-156.5,971.0,78,-12.574375678610206,65,53,40,28,15,3
도봉구,창제2동,0.0998914223669924,-156.5,971.0,97,-15.633007600434311,81,66,50,34,19,3
도봉구,창제3동,0.02823018458197611,-156.5,971.0,27,-4.418023887079261,23,19,14,10,5,1
도봉구,창제4동,0.10966340933767643,-156.5,971.0,106,-17.162323561346362,89,72,55,38,21,4
도봉구,창제5동,0.10314875135722042,-156.5,971.0,100,-16.142779587404995,84,68,52,36,19,3
동대문구,답십리제1동,0.13327882256745707,-121.24999999999996,1359.0,181,-16.160057236304166,165,149,133,116,100,84
동대문구,답십리제2동,0.09975470155355683,-121.24999999999996,1359.0,136,-12.095257563368762,123,111,99,87,75,63
동대문구,용신동,0.1267375306623058,-121.24999999999996,1359.0,172,-15.366925592804574,157,142,126,111,95,80
동대문구,이문제1동,0.03025347506132461,-121.24999999999996,1359.0,41,-3.6682338511856076,37,34,30,26,23,19
동대문구,이문제2동,0.050695012264922325,-121.24999999999996,1359.0,69,-6.14677023712183,63,57,50,44,38,32
동대문구,장안제1동,0.10466067048242028,-121.24999999999996,1359.0,142,-12.690106295993454,130,117,104,91,79,66
동대문구,장안제2동,0.1267375306623058,-121.24999999999996,1359.0,172,-15.366925592804574,157,142,126,111,95,80
